yyyy-mm-dd,HH:MM,team1,team2,score1,score2
2018-08-18,18:00,Chievo,Juventus,2,3
2018-08-18,20:30,Lazio,Napoli,1,2
2018-08-19,18:00,Torino,Roma,0,1
2018-08-19,20:30,Sassuolo,Inter,1,0
2018-08-19,20:30,Parma,Udinese,2,2
2018-08-19,20:30,Empoli,Cagliari,2,0
2018-08-19,20:30,Bologna,Spal,0,1
2018-08-20,20:30,Atalanta,Frosinone,4,0
2018-08-25,18:00,Juventus,Lazio,2,0
2018-08-25,20:30,Napoli,Milan,3,2
2018-08-26,18:00,Spal,Parma,1,0
2018-08-26,20:30,Udinese,Sampdoria,1,0
2018-08-26,20:30,Inter,Torino,2,2
2018-08-26,20:30,Genoa,Empoli,2,1
2018-08-26,20:30,Frosinone,Bologna,0,0
2018-08-26,20:30,Fiorentina,Chievo,6,1
2018-08-26,20:30,Cagliari,Sassuolo,2,2
2018-08-27,20:30,Roma,Atalanta,3,3
2018-08-31,20:30,Milan,Roma,2,1
2018-09-01,18:00,Bologna,Inter,0,3
2018-09-01,20:30,Parma,Juventus,1,2
2018-09-02,18:00,Fiorentina,Udinese,1,0
2018-09-02,20:30,Torino,Spal,1,0
2018-09-02,20:30,Sassuolo,Genoa,5,3
2018-09-02,20:30,Sampdoria,Napoli,3,0
2018-09-02,20:30,Lazio,Frosinone,1,0
2018-09-02,20:30,Chievo,Empoli,0,0
2018-09-02,20:30,Atalanta,Cagliari,0,1
2018-09-15,15:00,Inter,Parma,0,1
2018-09-15,18:00,Napoli,Fiorentina,1,0
2018-09-15,20:30,Frosinone,Sampdoria,0,5
2018-09-16,12:30,Roma,Chievo,2,2
2018-09-16,15:00,Udinese,Torino,1,1
2018-09-16,15:00,Juventus,Sassuolo,2,1
2018-09-16,15:00,Genoa,Bologna,1,0
2018-09-16,18:00,Empoli,Lazio,0,1
2018-09-16,20:30,Cagliari,Milan,1,1
2018-09-17,20:30,Spal,Atalanta,2,0
2018-09-19,19:00,Sampdoria,Fiorentina,1,1
2018-09-21,20:30,Sassuolo,Empoli,3,1
2018-09-22,15:00,Parma,Cagliari,2,0
2018-09-22,18:00,Fiorentina,Spal,3,0
2018-09-22,20:30,Sampdoria,Inter,0,1
2018-09-23,12:30,Torino,Napoli,1,3
2018-09-23,15:00,Lazio,Genoa,4,1
2018-09-23,15:00,Chievo,Udinese,0,2
2018-09-23,15:00,Bologna,Roma,2,0
2018-09-23,18:00,Milan,Atalanta,2,2
2018-09-23,20:30,Frosinone,Juventus,0,2
2018-09-25,21:00,Inter,Fiorentina,2,1
2018-09-26,19:00,Udinese,Lazio,1,2
2018-09-26,21:00,Roma,Frosinone,4,0
2018-09-26,21:00,Napoli,Parma,3,0
2018-09-26,21:00,Juventus,Bologna,2,0
2018-09-26,21:00,Genoa,Chievo,2,0
2018-09-26,21:00,Cagliari,Sampdoria,0,0
2018-09-26,21:00,Atalanta,Torino,0,0
2018-09-27,19:00,Spal,Sassuolo,0,2
2018-09-27,21:00,Empoli,Milan,1,1
2018-09-29,15:00,Roma,Lazio,3,1
2018-09-29,18:00,Juventus,Napoli,3,1
2018-09-29,20:30,Inter,Cagliari,2,0
2018-09-30,12:30,Bologna,Udinese,2,1
2018-09-30,15:00,Frosinone,Genoa,1,2
2018-09-30,15:00,Fiorentina,Atalanta,2,0
2018-09-30,15:00,Chievo,Torino,0,1
2018-09-30,18:00,Parma,Empoli,1,0
2018-09-30,20:30,Sassuolo,Milan,1,4
2018-10-01,20:30,Sampdoria,Spal,2,1
2018-10-05,20:30,Torino,Frosinone,3,2
2018-10-06,15:00,Cagliari,Bologna,2,0
2018-10-06,18:00,Udinese,Juventus,0,2
2018-10-06,20:30,Empoli,Roma,0,2
2018-10-07,12:30,Genoa,Parma,1,3
2018-10-07,15:00,Milan,Chievo,3,1
2018-10-07,15:00,Lazio,Fiorentina,1,0
2018-10-07,15:00,Atalanta,Sampdoria,0,1
2018-10-07,18:00,Napoli,Sassuolo,2,0
2018-10-07,20:30,Spal,Inter,1,2
2018-10-20,15:00,Roma,Spal,0,2
2018-10-20,18:00,Juventus,Genoa,1,1
2018-10-20,20:30,Udinese,Napoli,0,3
2018-10-21,12:30,Frosinone,Empoli,3,3
2018-10-21,15:00,Parma,Lazio,0,2
2018-10-21,15:00,Chievo,Atalanta,1,5
2018-10-21,15:00,Bologna,Torino,2,2
